[-0.01335942],[0.5662054],[-0.0765403],[0.0241753],[0.34523714],[-0.79507816],[0.09101231],[-0.12278133],[0.55477196]
[0.21690314],[-0.6743064],[-0.06485476],[0.07511472],[-0.12128298],[-0.0277768],[0.10181777],[0.05531754],[-0.7687129]
[0.11384938],[-0.31061196],[0.16229874],[-0.42849103],[0.44776025],[-0.66741014],[0.11065944],[0.20743419],[-0.37489215]
[0.05824518],[-0.4972516],[0.33302966],[0.08244989],[-0.5407407],[-0.00365203],[0.11338961],[0.02557596],[-0.620576]
[-0.20590429],[-0.29362094],[0.028313],[0.03712495],[-1.23154],[0.8203844],[0.11909887],[-0.16662338],[-0.26483732]
[-0.15205966],[-0.37221426],[0.0480174],[0.2877359],[0.17157401],[-0.01562488],[0.00113017],[-0.17098746],[-0.42236835]
[-0.4467195],[-0.05037181],[0.14361118],[-0.3358324],[-0.7771098],[-0.31174254],[-0.00215606],[-0.4988885],[0.07252083]
[0.03731871],[0.4452605],[0.065408],[0.01269749],[0.07110325],[1.378009],[0.1957573],[-0.08405299],[0.47153637]
[0.13702533],[-0.07181795],[0.0030036],[0.24456067],[-0.26671156],[-0.01237409],[0.00059047],[0.19312756],[0.05970069]
[0.49711135],[-0.5195812],[0.16080551],[0.15149947],[0.7190428],[-0.7607321],[-0.0506037],[0.47614345],[-0.49549106]
[-0.50075823],[-0.24451913],[0.16491263],[-0.52397007],[0.9638047],[0.54265225],[-0.18065983],[-0.43855587],[-0.28985527]
[0.02132468],[-0.08670812],[-0.08893393],[-0.3562391],[-0.00811256],[-0.00625822],[-0.03026131],[-0.05547974],[0.07176177]
[0.00437829],[-0.06564015],[-0.17150004],[-0.01676242],[0.08273745],[0.06365284],[-0.29851624],[-0.11844673],[0.02110729]
[-0.02025436],[-0.02304604],[-0.00507975],[-0.00884057],[0.04386554],[-0.01030732],[0.00058752],[0.03207419],[-0.07735201]
[-0.00138384],[-0.0055871],[-0.04169511],[0.2575086],[0.13200085],[-0.05844843],[-0.01241292],[-0.1110263],[0.06113736]
[0.6173009],[-0.23104805],[0.02623443],[0.02860381],[-1.5070759],[0.6646803],[-0.08780155],[0.6456021],[-0.25589994]
[-0.6034808],[0.5555468],[0.16200872],[0.2643016],[-0.34567422],[0.28474203],[-0.05190104],[-0.5937761],[0.5596263]
