[-0.02813649],[0.423177],[-0.10540708],[0.02844259],[-0.16403553],[-0.88651],[0.1171284],[-0.13756026],[0.41175345]
[0.10342644],[-0.44350383],[-0.08714578],[0.02610239],[0.41488096],[0.2988249],[0.08796767],[-0.05816063],[-0.53792924]
[-0.15261842],[-0.50875956],[0.11946076],[-0.46643245],[0.4687602],[-0.42733297],[0.03800428],[-0.05903767],[-0.57311696]
[0.70462203],[0.19838703],[0.09502679],[0.14538127],[-1.0127763],[0.25290328],[-0.06976343],[0.67197025],[0.07509864]
[-0.01301323],[-0.30939814],[0.00873837],[0.01481805],[-1.5873181],[-0.19077773],[0.04121181],[0.02625846],[-0.280618]
[-0.09004245],[-0.43646893],[0.03755521],[0.2808939],[0.07098695],[-0.27171722],[0.0203412],[-0.10896797],[-0.48661628]
[-0.41674158],[-0.4285683],[0.35958055],[-0.03136929],[-0.12350869],[-0.39325106],[0.13475056],[-0.4690271],[-0.30567494]
[0.03043964],[0.42183468],[0.02647701],[-0.0093412],[0.09322107],[1.467587],[0.25154155],[-0.09093338],[0.44817144]
[0.03191137],[-0.02990942],[-0.00160174],[0.23680595],[0.04895959],[0.05732337],[-0.01046978],[0.08801466],[0.10161778]
[0.48786226],[-0.64023197],[0.13075764],[0.139663],[0.7328025],[-0.686481],[0.02199143],[0.46692085],[-0.61617506]
[0.15729482],[0.48414606],[0.04972277],[-0.33342123],[-0.34866855],[1.0572734],[-0.02270887],[0.21957994],[0.43879896]
[0.07667697],[-0.11545102],[-0.08308679],[-0.36999494],[-0.08749159],[0.0365047],[-0.04120984],[-0.00013179],[0.04300747]
[0.01186659],[-0.04942561],[-0.14682013],[0.00082578],[0.07524893],[0.03044306],[-0.27447075],[-0.11096059],[0.03733015]
[-0.31332323],[-0.2805516],[-0.00603021],[-0.41165605],[0.95891565],[1.043165],[-0.19690934],[-0.2609849],[-0.3348643]
[-0.00813583],[-0.03928224],[-0.05257308],[0.28400528],[0.13959028],[0.00719885],[-0.01496423],[-0.11777616],[0.02744694]
[0.5177579],[-0.44288003],[0.01604018],[0.05309927],[-1.1850101],[1.1595886],[-0.07428486],[0.54606676],[-0.4677535]
[-0.38521883],[0.7297721],[0.15136279],[0.27887198],[-0.03019145],[0.00116726],[-0.06222202],[-0.37553728],[0.7338614]
